ID,Nombre,Edad,Email,Telefono,Ciudad,Ingresos,Estado
15,Nombre_78,115,email_erroneo,3002252966,Cali,14290659,???
49,Nombre_79,19,user79@correo.com,3007702114,Bogotá,2872612,???
68,,40,user80@correo.com,XXX,Cali,3825633,Activo
22,Nombre_81,64,user81@correo.com,3009058883,Cali,5544837,???
34,Nombre_82,83,user82@correo.com,3009358953,,2998761,Inactivo
18,Nombre_83,107,user83@correo.com,3009320631,Cali,8742517,
35,Nombre_84,72,email_erroneo,3006763720,Bogotá,4516978,Activo
14,Nombre_85,28,user85@correo.com,XXX,,258086,Activo
36,Nombre_86,54,user86@correo.com,3001662306,Cali,3647197,Inactivo
9,Nombre_87,11,user87@correo.com,3005614007,Bogotá,7717294,Inactivo
36,,95,user88@correo.com,3006778718,Cali,8072215,Inactivo
15,Nombre_89,50,user89@correo.com,3006673422,,14269616,Activo
5,Nombre_90,112,email_erroneo,XXX,Medellín,9703339,???
39,Nombre_91,52,user91@correo.com,3008477671,,195138,Activo
23,Nombre_92,71,user92@correo.com,3009985768,Cali,9555557,Inactivo
1,Nombre_93,53,user93@correo.com,3001939107,,14990716,
55,Nombre_94,100,user94@correo.com,3001311741,Cali,4043992,Inactivo
33,Nombre_95,32,user95@correo.com,XXX,,899734,???
73,,59,email_erroneo,3009401918,Bogotá,3635482,???
17,Nombre_97,9,user97@correo.com,3006044022,Bogotá,7982712,Activo
44,Nombre_98,80,user98@correo.com,3003488632,,6166942,???
69,Nombre_99,96,user99@correo.com,3003107581,,13,???
64,Nombre_100,112,user100@correo.com,XXX,Cali,12004369,Activo
11,Nombre_101,14,user101@correo.com,3007841568,,10087922,???
21,Nombre_102,113,email_erroneo,3002224308,Cali,9051181,Inactivo
64,Nombre_103,-1,user103@correo.com,3006424695,Cali,9427166,Inactivo
71,,60,user104@correo.com,3007054516,Bogotá,8645570,???
61,Nombre_105,83,user105@correo.com,XXX,,13829489,Activo
63,Nombre_106,53,user106@correo.com,3005782358,,7258111,
52,Nombre_107,42,user107@correo.com,3005890065,Cali,6095002,
75,Nombre_108,57,email_erroneo,3005581975,Medellín,7867712,Activo
10,Nombre_109,118,user109@correo.com,3007421539,Medellín,12615034,???
33,Nombre_110,84,user110@correo.com,XXX,,9242912,Inactivo
65,Nombre_111,80,user111@correo.com,3003286271,Bogotá,10722973,???
9,,79,user112@correo.com,3002033673,Bogotá,9386478,???
49,Nombre_113,0,user113@correo.com,3002256111,Bogotá,5736979,???
60,Nombre_114,48,email_erroneo,3007534436,Bogotá,6292403,
40,Nombre_115,77,user115@correo.com,XXX,,10307803,Activo
70,Nombre_116,118,user116@correo.com,3005902639,Bogotá,12600150,
51,Nombre_117,6,user117@correo.com,3003601032,Medellín,12309863,
71,Nombre_118,97,user118@correo.com,3002687656,Bogotá,14200556,Inactivo
60,Nombre_119,88,user119@correo.com,3005943310,Bogotá,1754598,???
9,,65,email_erroneo,XXX,Cali,8960145,Inactivo
26,Nombre_121,10,user121@correo.com,3008646809,Bogotá,10227301,Activo
65,Nombre_122,7,user122@correo.com,3003705082,Medellín,10112041,Inactivo
39,Nombre_123,0,user123@correo.com,3003843232,Cali,942745,Inactivo
48,Nombre_124,116,user124@correo.com,3003937218,,887243,???
24,Nombre_125,6,user125@correo.com,XXX,Bogotá,10757678,
42,Nombre_126,59,email_erroneo,3008328460,,14346908,
46,Nombre_127,54,user127@correo.com,3003921286,,5278802,???
79,,110,user128@correo.com,3002658342,,2399221,Activo
64,Nombre_129,66,user129@correo.com,3002044969,Cali,11716622,Activo
68,Nombre_130,21,user130@correo.com,XXX,Bogotá,-948610,???
14,Nombre_131,126,user131@correo.com,3002339601,,12946890,Inactivo
54,Nombre_132,77,email_erroneo,3009113162,Cali,2823747,Inactivo
52,Nombre_133,-10,user133@correo.com,3002348312,Medellín,9823848,Inactivo
58,Nombre_134,121,user134@correo.com,3009985793,Medellín,10885821,Activo
2,Nombre_135,60,user135@correo.com,XXX,Cali,12281086,
26,,42,user136@correo.com,3009722651,,13210285,???
61,Nombre_137,117,user137@correo.com,3007843577,Medellín,11302332,???
78,Nombre_138,67,email_erroneo,3001382407,Cali,-755729,Inactivo
12,Nombre_139,78,user139@correo.com,3005909378,Medellín,8099252,Activo
69,Nombre_140,67,user140@correo.com,XXX,Medellín,10019972,Activo
37,Nombre_141,-7,user141@correo.com,3002737723,,8287703,Activo
31,Nombre_142,25,user142@correo.com,3008931135,Bogotá,7020390,Inactivo
34,Nombre_143,77,user143@correo.com,3005559475,,2706908,Inactivo
14,,47,email_erroneo,3003238253,,13426080,Inactivo
71,Nombre_145,104,user145@correo.com,XXX,Cali,6577432,Activo
20,Nombre_146,95,user146@correo.com,3008746429,,2963746,
39,Nombre_147,107,user147@correo.com,3008431830,,-337247,
55,Nombre_148,122,user148@correo.com,3008286598,,7762149,Activo
10,Nombre_149,85,user149@correo.com,3007529989,,-723463,Activo
