ID;Nombre;Apellido;Edad;Email;Teléfono;Ciudad;Dirección;Fecha_Nacimiento;Género;Estado_Civil;Ingresos;Score_Crédito
51;Nombre_50;Apellido_50;-14;user50@mail.com;3118597144;;Calle 50 # 0-50;2026-06-18 00:00:00;F;Soltero;1607290;200
51;Nombre_50;Apellido_50;;user50@mail.com;3118597144;;Calle 51 # 1-51;1925-07-09 00:00:00;F;Casado;1607290;-50
53;Nombre_52;Apellido_52;67;user52@mail.com;3160030163;Bogotá;###;2004-07-05 00:00:00;X;Soltero;12593096;1000
54;Nombre_53;Apellido_53;47;user53@mail.com;3155205803;Cali;Calle 53 # 3-53;1961-08-05 00:00:00;F;Soltero;20997533;200
55;Nombre_54;Apellido_54;5;email_mal_formado;3138700603;Cali;Calle 54 # 4-54;1953-12-05 00:00:00;M;???;7008745;1000
56;Nombre_55;Apellido_55;99;user55@mail.com;;Cartagena;Calle 55 # 5-55;1926-12-14 00:00:00;F;Casado;27025576;200
57;Nombre_56;Apellido_56;135;user56@mail.com;3163583088;Cali;Calle 56 # 6-56;2027-04-10 00:00:00;X;;2558062;0
58;Nombre_57;Apellido_57;2;user57@mail.com;3171821054;;Calle 57 # 7-57;1932-08-29 00:00:00;;;28305476;
59;Nombre_58;Apellido_58;96;user58@mail.com;3154432252;Cartagena;Calle 58 # 8-58;1954-10-19 00:00:00;F;Casado;23200995;850
60;Nombre_59;Apellido_59;58;user59@mail.com;3162505230;Bogotá;Calle 59 # 9-59;1956-02-02 00:00:00;X;Casado;27785830;1000
61;;Apellido_60;19;user60@mail.com;3192317107;Bogotá;Calle 60 # 10-60;1935-06-29 00:00:00;X;Soltero;4386475;1000
61;;Apellido_60;104;user60@mail.com;3192317107;Bogotá;Calle 61 # 11-61;1946-06-28 00:00:00;M;???;4386475;1000
63;Nombre_62;Apellido_62;138;user62@mail.com;3131790768;Cali;Calle 62 # 12-62;1948-03-21 00:00:00;M;Casado;-943004;1000
64;Nombre_63;Apellido_63;31;email_mal_formado;3142124760;Medellín;Calle 63 # 13-63;2025-01-05 00:00:00;;;-171169;
65;Nombre_64;Apellido_64;28;user64@mail.com;3153584659;Medellín;Calle 64 # 14-64;1970-01-25 00:00:00;;Soltero;18717859;200
66;Nombre_65;Apellido_65;55;user65@mail.com;3181956860;Medellín;###;2002-02-02 00:00:00;;;28256474;850
67;Nombre_66;Apellido_66;32;user66@mail.com;;Medellín;Calle 66 # 16-66;2014-06-19 00:00:00;;???;26403587;1000
68;Nombre_67;Apellido_67;-16;user67@mail.com;3171835681;Cartagena;Calle 67 # 17-67;1976-06-05 00:00:00;M;Soltero;5926842;850
69;Nombre_68;Apellido_68;;user68@mail.com;3176788953;Medellín;Calle 68 # 18-68;1936-07-08 00:00:00;M;;20996015;850
70;Nombre_69;Apellido_69;58;user69@mail.com;3141382144;Medellín;Calle 69 # 19-69;1977-01-28 00:00:00;M;Casado;3980477;
71;Nombre_70;Apellido_70;56;user70@mail.com;3170066035;Medellín;Calle 70 # 20-70;1995-11-09 00:00:00;X;Soltero;1083017;200
71;Nombre_70;Apellido_70;39;user70@mail.com;3170066035;Medellín;Calle 71 # 21-71;1979-08-25 00:00:00;F;;1083017;850
73;;Apellido_72;80;email_mal_formado;3156659017;Medellín;Calle 72 # 22-72;2014-11-04 00:00:00;X;Casado;8774972;-50
74;Nombre_73;Apellido_73;123;user73@mail.com;3114816365;;Calle 73 # 23-73;1984-03-07 00:00:00;X;Casado;12905807;0
75;Nombre_74;Apellido_74;130;user74@mail.com;3121796110;;Calle 74 # 24-74;1987-05-21 00:00:00;M;Soltero;12776387;200
76;Nombre_75;Apellido_75;51;user75@mail.com;3135079228;Medellín;Calle 75 # 25-75;1970-11-02 00:00:00;;Casado;25829394;850
77;Nombre_76;Apellido_76;123;user76@mail.com;3128755883;Cartagena;Calle 76 # 26-76;1999-10-24 00:00:00;;Soltero;26321605;
78;Nombre_77;Apellido_77;92;user77@mail.com;;;Calle 77 # 27-77;2010-12-30 00:00:00;;Casado;11750322;850
79;Nombre_78;Apellido_78;29;user78@mail.com;3123013773;;###;1994-05-22 00:00:00;F;???;29797309;
80;Nombre_79;Apellido_79;-18;user79@mail.com;3111505038;Medellín;Calle 79 # 29-79;2002-05-18 00:00:00;M;???;989195;850
81;Nombre_80;Apellido_0;129;user80@mail.com;3148536004;Cartagena;Calle 80 # 30-80;1924-12-08 00:00:00;M;;17729198;1000
81;Nombre_80;Apellido_0;119;user80@mail.com;3148536004;Cartagena;Calle 81 # 31-81;1987-08-04 00:00:00;M;Casado;17729198;850
83;Nombre_82;Apellido_2;139;user82@mail.com;3116668407;Bogotá;Calle 82 # 32-82;2013-11-06 00:00:00;;Casado;5176428;
84;Nombre_83;Apellido_3;40;user83@mail.com;3197963749;Medellín;Calle 83 # 33-83;1944-10-16 00:00:00;;Casado;-1083468;1000
85;;Apellido_4;91;user84@mail.com;3164245359;Bogotá;Calle 84 # 34-84;2022-08-17 00:00:00;;Casado;27831004;1000
86;Nombre_85;Apellido_5;;user85@mail.com;3180348196;;Calle 85 # 35-85;2011-09-17 00:00:00;X;;15435152;200
87;Nombre_86;Apellido_6;78;user86@mail.com;3194090548;Medellín;Calle 86 # 36-86;1975-08-27 00:00:00;F;???;12981629;-50
88;Nombre_87;Apellido_7;13;user87@mail.com;3177771502;Medellín;Calle 87 # 37-87;1988-09-14 00:00:00;M;Casado;7270940;-50
89;Nombre_88;Apellido_8;79;user88@mail.com;;Cali;Calle 88 # 38-88;1999-03-30 00:00:00;X;;18575184;0
90;Nombre_89;Apellido_9;15;user89@mail.com;3123232874;;Calle 89 # 39-89;1999-02-06 00:00:00;X;???;28454575;200
91;Nombre_90;Apellido_10;46;email_mal_formado;3196406810;;Calle 90 # 40-90;1963-07-31 00:00:00;F;Soltero;24108785;1000
91;Nombre_90;Apellido_10;54;email_mal_formado;3196406810;;###;1951-01-06 00:00:00;F;???;24108785;
93;Nombre_92;Apellido_12;-1;user92@mail.com;3198427829;;Calle 92 # 42-92;2019-04-20 00:00:00;;Soltero;-1703364;200
94;Nombre_93;Apellido_13;143;user93@mail.com;3147705775;Cali;Calle 93 # 43-93;1988-08-01 00:00:00;F;???;14623481;
95;Nombre_94;Apellido_14;-8;user94@mail.com;3147128395;Bogotá;Calle 94 # 44-94;1966-12-11 00:00:00;;Soltero;2426895;-50
96;Nombre_95;Apellido_15;112;user95@mail.com;3118523756;;Calle 95 # 45-95;2003-06-27 00:00:00;F;???;22664710;
97;;Apellido_16;109;user96@mail.com;3193496572;;Calle 96 # 46-96;1955-12-23 00:00:00;;Casado;17104915;-50
98;Nombre_97;Apellido_17;-14;user97@mail.com;3180648524;;Calle 97 # 47-97;1937-08-15 00:00:00;X;Soltero;10898346;0
99;Nombre_98;Apellido_18;145;user98@mail.com;3193291785;Bogotá;Calle 98 # 48-98;1982-09-13 00:00:00;F;???;2354525;-50
100;Nombre_99;Apellido_19;119;email_mal_formado;;Medellín;Calle 99 # 49-99;1989-06-21 00:00:00;X;;4828309;0
101;Nombre_100;Apellido_20;59;user100@mail.com;3116890754;Cali;Calle 100 # 0-0;2025-08-23 00:00:00;F;Casado;20143433;-50
101;Nombre_100;Apellido_20;93;user100@mail.com;3116890754;Cali;Calle 101 # 1-1;1996-02-16 00:00:00;M;;20143433;
103;Nombre_102;Apellido_22;;user102@mail.com;3146661932;Cali;Calle 102 # 2-2;1985-07-10 00:00:00;M;???;13099482;850
104;Nombre_103;Apellido_23;46;user103@mail.com;3124245651;Cali;Calle 103 # 3-3;1998-12-22 00:00:00;;Soltero;7896830;0
105;Nombre_104;Apellido_24;63;user104@mail.com;3126749078;Medellín;###;1984-06-14 00:00:00;;Casado;21225825;-50
106;Nombre_105;Apellido_25;68;user105@mail.com;3117357502;Cali;Calle 105 # 5-5;1925-07-08 00:00:00;M;Casado;8257596;850
107;Nombre_106;Apellido_26;60;user106@mail.com;3163810154;;Calle 106 # 6-6;2018-02-20 00:00:00;F;;4387338;200
108;Nombre_107;Apellido_27;69;user107@mail.com;3121035654;;Calle 107 # 7-7;2005-08-20 00:00:00;;???;14909579;-50
109;;Apellido_28;81;email_mal_formado;3148828910;Cartagena;Calle 108 # 8-8;1973-10-23 00:00:00;M;Soltero;29189270;
110;Nombre_109;Apellido_29;124;user109@mail.com;3195917098;;Calle 109 # 9-9;1933-04-26 00:00:00;M;???;20249331;
111;Nombre_110;Apellido_30;3;user110@mail.com;;Bogotá;Calle 110 # 10-10;2010-05-01 00:00:00;;Casado;12478200;0
111;Nombre_110;Apellido_30;-4;user110@mail.com;;Bogotá;Calle 111 # 11-11;1951-03-07 00:00:00;F;;12478200;
113;Nombre_112;Apellido_32;49;user112@mail.com;3146719098;Medellín;Calle 112 # 12-12;1998-11-08 00:00:00;X;???;11348831;1000
114;Nombre_113;Apellido_33;78;user113@mail.com;3136355612;Bogotá;Calle 113 # 13-13;1964-07-28 00:00:00;X;Soltero;8647023;200
115;Nombre_114;Apellido_34;74;user114@mail.com;3156401817;;Calle 114 # 14-14;2005-04-08 00:00:00;;;8798910;
116;Nombre_115;Apellido_35;100;user115@mail.com;3173944811;;Calle 115 # 15-15;1972-08-25 00:00:00;M;???;-353934;850
117;Nombre_116;Apellido_36;-14;user116@mail.com;3173530132;Cali;Calle 116 # 16-16;1931-05-06 00:00:00;;???;-1116144;850
118;Nombre_117;Apellido_37;116;email_mal_formado;3145594224;Cali;###;2003-05-04 00:00:00;X;Soltero;4137976;
119;Nombre_118;Apellido_38;83;user118@mail.com;3168719793;Cali;Calle 118 # 18-18;1946-10-12 00:00:00;X;Soltero;7319555;1000
120;Nombre_119;Apellido_39;;user119@mail.com;3132007272;Cartagena;Calle 119 # 19-19;1954-02-15 00:00:00;;???;3265472;0
121;;Apellido_40;81;user120@mail.com;3113593308;;Calle 120 # 20-20;1930-07-31 00:00:00;X;???;842562;-50
121;;Apellido_40;-15;user120@mail.com;3113593308;;Calle 121 # 21-21;1977-02-27 00:00:00;F;Casado;842562;850
123;Nombre_122;Apellido_42;-6;user122@mail.com;3118499513;;Calle 122 # 22-22;2008-07-16 00:00:00;;Soltero;14796080;850
124;Nombre_123;Apellido_43;127;user123@mail.com;3173096841;Medellín;Calle 123 # 23-23;1925-07-22 00:00:00;;???;20780673;0
125;Nombre_124;Apellido_44;47;user124@mail.com;3157718636;Cartagena;Calle 124 # 24-24;1960-05-25 00:00:00;M;Casado;7337669;-50
126;Nombre_125;Apellido_45;133;user125@mail.com;3143159078;Cartagena;Calle 125 # 25-25;1931-03-15 00:00:00;;Casado;10321384;
127;Nombre_126;Apellido_46;69;email_mal_formado;3126533560;;Calle 126 # 26-26;1976-06-18 00:00:00;;Soltero;22300563;1000
128;Nombre_127;Apellido_47;117;user127@mail.com;3145446494;;Calle 127 # 27-27;1941-01-03 00:00:00;M;???;8400828;0
129;Nombre_128;Apellido_48;121;user128@mail.com;3143932636;;Calle 128 # 28-28;1985-09-05 00:00:00;F;Casado;8665901;0
130;Nombre_129;Apellido_49;11;user129@mail.com;3161722266;Cali;Calle 129 # 29-29;2013-02-27 00:00:00;F;???;29068379;850
131;Nombre_130;Apellido_50;-14;user130@mail.com;3185960715;;###;1946-06-21 00:00:00;F;Casado;23565187;0
131;Nombre_130;Apellido_50;41;user130@mail.com;3185960715;;Calle 131 # 31-31;1926-06-07 00:00:00;X;Casado;23565187;0
133;;Apellido_52;118;user132@mail.com;;Cartagena;Calle 132 # 32-32;1940-06-02 00:00:00;M;;22708753;0
134;Nombre_133;Apellido_53;123;user133@mail.com;3140514033;Cartagena;Calle 133 # 33-33;1951-07-20 00:00:00;M;???;10738363;
135;Nombre_134;Apellido_54;52;user134@mail.com;3170040611;Bogotá;Calle 134 # 34-34;1935-08-27 00:00:00;F;Casado;21237484;-50
136;Nombre_135;Apellido_55;88;email_mal_formado;3155103226;Cali;Calle 135 # 35-35;1972-02-19 00:00:00;F;???;10532204;
137;Nombre_136;Apellido_56;;user136@mail.com;3172691463;Cali;Calle 136 # 36-36;2005-07-27 00:00:00;M;Casado;15405059;
138;Nombre_137;Apellido_57;24;user137@mail.com;3175474431;Bogotá;Calle 137 # 37-37;1999-06-08 00:00:00;M;;2317510;850
139;Nombre_138;Apellido_58;112;user138@mail.com;3175513556;Cartagena;Calle 138 # 38-38;1953-08-08 00:00:00;F;;6207569;850
140;Nombre_139;Apellido_59;101;user139@mail.com;3144959339;Cartagena;Calle 139 # 39-39;2008-06-27 00:00:00;F;Soltero;9123931;200
141;Nombre_140;Apellido_60;44;user140@mail.com;3183992901;Cartagena;Calle 140 # 40-40;1928-10-10 00:00:00;;Casado;-935377;-50
141;Nombre_140;Apellido_60;49;user140@mail.com;3183992901;Cartagena;Calle 141 # 41-41;1951-04-11 00:00:00;X;Casado;-935377;200
143;Nombre_142;Apellido_62;9;user142@mail.com;3194999708;Cartagena;Calle 142 # 42-42;1949-05-07 00:00:00;F;???;17118265;1000
144;Nombre_143;Apellido_63;132;user143@mail.com;;;###;1927-10-24 00:00:00;F;Soltero;19629589;200
145;;Apellido_64;-8;email_mal_formado;3186374091;Bogotá;Calle 144 # 44-44;1958-08-24 00:00:00;F;???;24597357;-50
146;Nombre_145;Apellido_65;129;user145@mail.com;3166966592;;Calle 145 # 45-45;1984-12-02 00:00:00;;???;29941532;200
147;Nombre_146;Apellido_66;31;user146@mail.com;3131543422;Cali;Calle 146 # 46-46;1991-11-10 00:00:00;F;Casado;5233699;200
148;Nombre_147;Apellido_67;113;user147@mail.com;3114820800;Cartagena;Calle 147 # 47-47;1994-03-23 00:00:00;F;Soltero;4637476;-50
149;Nombre_148;Apellido_68;109;user148@mail.com;3166196619;;Calle 148 # 48-48;1943-05-13 00:00:00;M;???;16255026;850
150;Nombre_149;Apellido_69;-15;user149@mail.com;3136490886;Bogotá;Calle 149 # 49-49;1948-08-28 00:00:00;M;???;9163418;1000
151;Nombre_150;Apellido_70;90;user150@mail.com;3192821788;;Calle 150 # 0-50;1996-08-21 00:00:00;F;;7622132;0
151;Nombre_150;Apellido_70;80;user150@mail.com;3192821788;;Calle 151 # 1-51;1951-12-31 00:00:00;M;;7622132;1000
153;Nombre_152;Apellido_72;23;user152@mail.com;3147023001;Cartagena;Calle 152 # 2-52;1954-03-21 00:00:00;X;;29735810;
154;Nombre_153;Apellido_73;;email_mal_formado;3198334066;Bogotá;Calle 153 # 3-53;1993-04-27 00:00:00;;;-608675;200
155;Nombre_154;Apellido_74;59;user154@mail.com;;Bogotá;Calle 154 # 4-54;2028-04-09 00:00:00;;Casado;9952543;-50
156;Nombre_155;Apellido_75;146;user155@mail.com;3131253611;;Calle 155 # 5-55;1927-04-10 00:00:00;X;Soltero;882135;-50
157;;Apellido_76;-18;user156@mail.com;3121097738;Cali;###;2006-08-05 00:00:00;F;;4226693;850
158;Nombre_157;Apellido_77;36;user157@mail.com;3136642556;;Calle 157 # 7-57;1936-02-09 00:00:00;F;Casado;4712117;850
159;Nombre_158;Apellido_78;62;user158@mail.com;3188458463;Medellín;Calle 158 # 8-58;1976-06-01 00:00:00;F;Soltero;8650735;
160;Nombre_159;Apellido_79;106;user159@mail.com;3180959400;Cali;Calle 159 # 9-59;1993-05-27 00:00:00;X;Casado;24775695;0
161;Nombre_160;Apellido_0;53;user160@mail.com;3131082636;;Calle 160 # 10-60;1932-07-23 00:00:00;;;14710337;
161;Nombre_160;Apellido_0;17;user160@mail.com;3131082636;;Calle 161 # 11-61;1951-11-21 00:00:00;;;14710337;1000
163;Nombre_162;Apellido_2;57;email_mal_formado;3126391235;;Calle 162 # 12-62;1935-07-11 00:00:00;M;Casado;27949264;-50
164;Nombre_163;Apellido_3;38;user163@mail.com;3197229013;Cali;Calle 163 # 13-63;2022-02-01 00:00:00;;;21047198;-50
165;Nombre_164;Apellido_4;96;user164@mail.com;3138356370;Cartagena;Calle 164 # 14-64;2009-01-26 00:00:00;M;;25583219;0
166;Nombre_165;Apellido_5;-9;user165@mail.com;;Cali;Calle 165 # 15-65;1945-04-24 00:00:00;F;Soltero;21803337;
167;Nombre_166;Apellido_6;72;user166@mail.com;3121422824;;Calle 166 # 16-66;2022-08-05 00:00:00;F;Soltero;23771041;0
168;Nombre_167;Apellido_7;23;user167@mail.com;3157698895;;Calle 167 # 17-67;2006-05-30 00:00:00;X;Casado;24477242;850
169;;Apellido_8;13;user168@mail.com;3183759609;Cartagena;Calle 168 # 18-68;1922-09-23 00:00:00;X;Casado;27024190;1000
170;Nombre_169;Apellido_9;88;user169@mail.com;3191610552;;###;1958-06-28 00:00:00;F;Soltero;17818608;-50
171;Nombre_170;Apellido_10;;user170@mail.com;3130407026;;Calle 170 # 20-70;2024-07-25 00:00:00;;Casado;3505525;1000
171;Nombre_170;Apellido_10;40;user170@mail.com;3130407026;;Calle 171 # 21-71;1965-08-02 00:00:00;M;;3505525;
173;Nombre_172;Apellido_12;27;user172@mail.com;3124170002;Medellín;Calle 172 # 22-72;1979-07-17 00:00:00;F;Casado;19741235;850
174;Nombre_173;Apellido_13;94;user173@mail.com;3172384193;Cartagena;Calle 173 # 23-73;1952-11-10 00:00:00;;;9224010;1000
175;Nombre_174;Apellido_14;95;user174@mail.com;3119032483;;Calle 174 # 24-74;1954-07-25 00:00:00;F;;5721478;
176;Nombre_175;Apellido_15;15;user175@mail.com;3183343326;Cali;Calle 175 # 25-75;1938-03-07 00:00:00;;Soltero;2981122;0
177;Nombre_176;Apellido_16;33;user176@mail.com;;Medellín;Calle 176 # 26-76;1957-11-17 00:00:00;X;Soltero;2317473;1000
178;Nombre_177;Apellido_17;137;user177@mail.com;3170182811;Cartagena;Calle 177 # 27-77;1952-06-17 00:00:00;M;???;16329375;1000
179;Nombre_178;Apellido_18;56;user178@mail.com;3137129815;;Calle 178 # 28-78;1986-07-07 00:00:00;X;;15771513;1000
180;Nombre_179;Apellido_19;31;user179@mail.com;3122805939;Cartagena;Calle 179 # 29-79;2014-03-16 00:00:00;F;???;2407864;-50
181;;Apellido_20;63;email_mal_formado;3110510348;;Calle 180 # 30-80;1923-04-18 00:00:00;F;;25285324;850
181;;Apellido_20;-3;email_mal_formado;3110510348;;Calle 181 # 31-81;1974-04-06 00:00:00;F;Casado;25285324;-50
183;Nombre_182;Apellido_22;111;user182@mail.com;3141261974;;###;1995-12-09 00:00:00;F;???;9353930;
184;Nombre_183;Apellido_23;111;user183@mail.com;3120934934;;Calle 183 # 33-83;1977-06-15 00:00:00;;Casado;25326428;-50
185;Nombre_184;Apellido_24;130;user184@mail.com;3195627700;Cartagena;Calle 184 # 34-84;1999-08-01 00:00:00;M;;2499587;850
186;Nombre_185;Apellido_25;49;user185@mail.com;3119700569;Medellín;Calle 185 # 35-85;1975-06-16 00:00:00;X;;7272521;-50
187;Nombre_186;Apellido_26;44;user186@mail.com;3167847933;;Calle 186 # 36-86;1940-08-14 00:00:00;F;Soltero;5345046;-50
188;Nombre_187;Apellido_27;;user187@mail.com;;;Calle 187 # 37-87;1940-07-13 00:00:00;X;???;24570764;-50
189;Nombre_188;Apellido_28;71;user188@mail.com;3180348347;Bogotá;Calle 188 # 38-88;1976-07-02 00:00:00;F;;29414176;850
190;Nombre_189;Apellido_29;61;email_mal_formado;3122140803;Bogotá;Calle 189 # 39-89;1997-09-14 00:00:00;F;Soltero;26433140;-50
191;Nombre_190;Apellido_30;29;user190@mail.com;3127873655;Medellín;Calle 190 # 40-90;1952-08-12 00:00:00;F;;16682084;
191;Nombre_190;Apellido_30;118;user190@mail.com;3127873655;Medellín;Calle 191 # 41-91;1987-05-24 00:00:00;M;Casado;16682084;850
193;;Apellido_32;41;user192@mail.com;3154181784;;Calle 192 # 42-92;1986-03-21 00:00:00;X;Soltero;25507493;
194;Nombre_193;Apellido_33;36;user193@mail.com;3168392179;Bogotá;Calle 193 # 43-93;2027-12-17 00:00:00;M;;20972642;200
195;Nombre_194;Apellido_34;86;user194@mail.com;3141746407;Cartagena;Calle 194 # 44-94;1989-03-22 00:00:00;X;???;-1152272;200
196;Nombre_195;Apellido_35;86;user195@mail.com;3145361210;Cali;###;1970-10-16 00:00:00;F;???;9656525;0
197;Nombre_196;Apellido_36;23;user196@mail.com;3151460189;;Calle 196 # 46-96;1964-08-16 00:00:00;M;???;6433813;
198;Nombre_197;Apellido_37;47;user197@mail.com;3196041588;Cartagena;Calle 197 # 47-97;2018-04-18 00:00:00;M;;28270859;850
199;Nombre_198;Apellido_38;86;email_mal_formado;;Medellín;Calle 198 # 48-98;1953-05-20 00:00:00;;;23925024;
200;Nombre_199;Apellido_39;5;user199@mail.com;3194960491;;Calle 199 # 49-99;1975-02-17 00:00:00;X;;11126855;-50
201;Nombre_200;Apellido_40;89;user200@mail.com;3196448035;Cartagena;Calle 200 # 0-0;2012-06-21 00:00:00;;Casado;6584779;1000
